Name of the Instrument,ISIN,Industry / Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",YTM~,YTC^,AMC Name,Scheme Name,Rating,Industry,ESG Score $,Core ESG Score,Link to BRSR
Debt Instruments,,,,,,,,Axis Mutual Fund,AXIS112,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,,,,,Axis Mutual Fund,AXIS112,,,,,
7.40% Government of India (19/03/2026),IN000326C040,Sovereign,4726000.0,4672.2276,0.5706,0.05456,,Axis Mutual Fund,AXIS112,,,,,
7.36% Government of India (12/03/2026),IN000326C057,Sovereign,3532800.0,3496.338,0.427,0.054379,,Axis Mutual Fund,AXIS112,,,,,
Sub Total,,,,8168.5655,0.9975,,,Axis Mutual Fund,AXIS112,,,,,
(b) Privately placed / Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXIS112,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXIS112,,,,,
Total,,,,8168.5655,0.9975,,,Axis Mutual Fund,AXIS112,,,,,
Reverse Repo / TREPS,,,,,,,,Axis Mutual Fund,AXIS112,,,,,
Clearing Corporation of India Ltd,,,,4.73,0.0006,0.0528670642577202,,Axis Mutual Fund,AXIS112,,,,,
Sub Total,,,,4.73,0.0006,,,Axis Mutual Fund,AXIS112,,,,,
Total,,,,4.73,0.0006,,,Axis Mutual Fund,AXIS112,,,,,
Net Receivables / (Payables),,,,15.4145,0.0019,,,Axis Mutual Fund,AXIS112,,,,,
GRAND TOTAL,,,,8188.71,1,,,Axis Mutual Fund,AXIS112,,,,,
,,,,,,,,Axis Mutual Fund,AXIS112,,,,,
"~ YTM as on December 31, 2025",,,,,,,,Axis Mutual Fund,AXIS112,,,,,
"^ YTC represents Yield to Call provided by valuation agencies as on December 31, 2025. It is disclosed for Perpetual Bond issued by Banks (i.e. AT-1 Bond / Tier 1 Bond / Tier 2 Bond), as per AMFI Best Practices Guidelines Circular no. 135/BP/91/2020-21 read with SEBI circular No. SEBI/HO/IMD/DF4/CIR/P/2021/034 on Valuation of AT-1 Bonds and Tier 2 Bonds.",,,,,,,,Axis Mutual Fund,AXIS112,,,,,
