Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating
Derivatives,,,,,,Axis Mutual Fund,AXISBDF,
Interest Rate Swaps,,,,,,Axis Mutual Fund,AXISBDF,
Interest Rate Swaps Pay Fix Receive Floating -HSBC BANK (22/12/2027) (FV 10000 Lacs),,,,-4.13,$0.00%,Axis Mutual Fund,AXISBDF,
Interest Rate Swaps Pay Fix Receive Floating -HSBC BANK (23/12/2030) (FV 5000 Lacs),,,,-13.07,$0.00%,Axis Mutual Fund,AXISBDF,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (29/01/2030) (FV 2500 Lacs),,,,-19.4325,$0.00%,Axis Mutual Fund,AXISBDF,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (06/03/2027) (FV 5000 Lacs),,,,-30.6,$0.00%,Axis Mutual Fund,AXISBDF,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (21/03/2027) (FV 7500 Lacs),,,,-35.0775,$0.00%,Axis Mutual Fund,AXISBDF,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (11/03/2027) (FV 10000 Lacs),,,,-62.02,$0.00%,Axis Mutual Fund,AXISBDF,
Sub Total,,,,-164.33,-0.0001,Axis Mutual Fund,AXISBDF,
Total,,,,-164.33,-0.0001,Axis Mutual Fund,AXISBDF,
Debt Instruments,,,,,,Axis Mutual Fund,AXISBDF,
(a) Listed / awaiting listing on Stock Exchange,,,,,,Axis Mutual Fund,AXISBDF,
7.1% Export Import Bank of India (18/03/2026) ,INE514E08GA6,CRISIL AAA,5790.0,57991.5978,0.0426,Axis Mutual Fund,AXISBDF,
7.42% Power Finance Corporation Limited (15/04/2028) ,INE134E08NL6,CRISIL AAA,47500.0,48056.5575,0.0353,Axis Mutual Fund,AXISBDF,
7.59% REC Limited (31/05/2027) ,INE020B08FA2,CRISIL AAA,46500.0,46973.556,0.0345,Axis Mutual Fund,AXISBDF,
6.79% Government of India (07/10/2034),IN0020240126,Sovereign,44000000.0,44485.716,0.0327,Axis Mutual Fund,AXISBDF,
7.4% Indian Railway Finance Corporation Limited (18/04/2026) ,INE053F08239,CRISIL AAA,44050.0,44159.9048,0.0325,Axis Mutual Fund,AXISBDF,
7.44% National Bank For Agriculture and Rural Development (24/02/2028) ,INE261F08EK5,CRISIL AAA,39500.0,39932.92,0.0294,Axis Mutual Fund,AXISBDF,
7.18% Government of India (14/08/2033),IN0020230085,Sovereign,38000000.0,39247.008,0.0289,Axis Mutual Fund,AXISBDF,
7.34% Small Industries Dev Bank of India (26/02/2029) ,INE556F08KS8,CRISIL AAA,35000.0,35338.38,0.026,Axis Mutual Fund,AXISBDF,
7.48% National Bank For Agriculture and Rural Development (15/09/2028),INE261F08EO7,CRISIL AAA,25500.0,25830.2505,0.019,Axis Mutual Fund,AXISBDF,
6.80% National Housing Bank (02/04/2032) ,INE557F08GE4,CARE AAA,22500.0,22183.155,0.0163,Axis Mutual Fund,AXISBDF,
6.18% Indian Bank (13/01/2031) ,INE562A08081,CRISIL AAA,2150.0,21496.001,0.0158,Axis Mutual Fund,AXISBDF,
7.12% Power Grid Corporation of India Limited (24/12/2034) ,INE752E08775,CRISIL AAA,19500.0,19541.7885,0.0144,Axis Mutual Fund,AXISBDF,
7.69% REC Limited (31/03/2033) ,INE020B08EG2,CRISIL AAA,18500.0,19004.976,0.014,Axis Mutual Fund,AXISBDF,
7.42% Small Industries Dev Bank of India (12/03/2029) ,INE556F08KW0,CRISIL AAA,18000.0,18208.206,0.0134,Axis Mutual Fund,AXISBDF,
7.288% Kotak Mahindra Prime Limited (24/10/2028) ,INE916DA7TE6,CRISIL AAA,17500.0,17510.0625,0.0129,Axis Mutual Fund,AXISBDF,
6.85% National Bank For Agriculture and Rural Development (19/01/2029) ,INE261F08EQ2,ICRA AAA,17500.0,17454.22,0.0128,Axis Mutual Fund,AXISBDF,
7.32% NTPC Limited (17/07/2029) ,INE733E07KL3,CRISIL AAA,1500.0,15230.205,0.0112,Axis Mutual Fund,AXISBDF,
6.74% Small Industries Dev Bank of India (10/01/2029) ,INE556F08LA4,CRISIL AAA,15000.0,14901.465,0.011,Axis Mutual Fund,AXISBDF,
6.66% Small Industries Dev Bank of India (25/10/2028) ,INE556F08KZ3,CRISIL AAA,15000.0,14896.17,0.011,Axis Mutual Fund,AXISBDF,
7.29% National Housing Bank (04/07/2031) ,INE557F08GC8,CARE AAA,13500.0,13654.5615,0.01,Axis Mutual Fund,AXISBDF,
7.51% Small Industries Dev Bank of India (12/06/2028) ,INE556F08KU4,CRISIL AAA,12500.0,12674.25,0.0093,Axis Mutual Fund,AXISBDF,
7.79% Small Industries Dev Bank of India (14/05/2027) ,INE556F08KM1,CRISIL AAA,12500.0,12663.4625,0.0093,Axis Mutual Fund,AXISBDF,
7.53% National Bank For Agriculture and Rural Development (24/03/2028) ,INE261F08EM1,ICRA AAA,12500.0,12662.7875,0.0093,Axis Mutual Fund,AXISBDF,
7.59% National Housing Bank (14/07/2027) ,INE557F08FY4,CRISIL AAA,12500.0,12646.2375,0.0093,Axis Mutual Fund,AXISBDF,
7.123% Tata Capital Housing Finance Limited (21/07/2027) ,INE033L07IO1,CRISIL AAA,12500.0,12507.45,0.0092,Axis Mutual Fund,AXISBDF,
7.08% Power Grid Corporation of India Limited (25/10/2034),INE752E08767,CRISIL AAA,12500.0,12487.7,0.0092,Axis Mutual Fund,AXISBDF,
6.60% REC Limited (30/06/2027) ,INE020B08FZ9,ICRA AAA,12500.0,12463.375,0.0092,Axis Mutual Fund,AXISBDF,
6.92% Indian Railway Finance Corporation Limited (29/08/2031) ,INE053F08122,CRISIL AAA,1250.0,12427.4375,0.0091,Axis Mutual Fund,AXISBDF,
7.26% Government of India (06/02/2033),IN0020220151,Sovereign,10500000.0,10894.548,0.008,Axis Mutual Fund,AXISBDF,
8.18% Mahindra & Mahindra Financial Services Limited (31/05/2029) ,INE774D07VF8,CRISIL AAA,10000.0,10215.5,0.0075,Axis Mutual Fund,AXISBDF,
7.49% Small Industries Dev Bank of India (11/06/2029) ,INE556F08KX8,CRISIL AAA,10000.0,10144.14,0.0075,Axis Mutual Fund,AXISBDF,
7.90% Bajaj Finance Limited (13/04/2028),INE296A07SI8,CRISIL AAA,1000.0,10133.41,0.0074,Axis Mutual Fund,AXISBDF,
7.75% Small Industries Dev Bank of India (10/06/2027) ,INE556F08KN9,CRISIL AAA,10000.0,10130.58,0.0074,Axis Mutual Fund,AXISBDF,
7.43% National Bank For Financing Infrastructure And Development (04/07/2034) ,INE0KUG08035,CRISIL AAA,10000.0,10080.06,0.0074,Axis Mutual Fund,AXISBDF,
7.5519% HDB Financial Services Limited (04/04/2029) ,INE756I07FE0,CRISIL AAA,10000.0,10044.79,0.0074,Axis Mutual Fund,AXISBDF,
7.70% National Bank For Agriculture and Rural Development (30/09/2027) ,INE261F08EI9,ICRA AAA,9700.0,9835.8097,0.0072,Axis Mutual Fund,AXISBDF,
7.35% Export Import Bank of India (27/07/2028),INE514E08GE8,CRISIL AAA,9000.0,9128.079,0.0067,Axis Mutual Fund,AXISBDF,
7.64% National Bank For Agriculture and Rural Development (06/12/2029) ,INE261F08EJ7,ICRA AAA,7500.0,7656.9675,0.0056,Axis Mutual Fund,AXISBDF,
7.59% Small Industries Dev Bank of India (10/02/2026) ,INE556F08KG3,CRISIL AAA,7600.0,7611.514,0.0056,Axis Mutual Fund,AXISBDF,
7.59% National Housing Bank (08/09/2027) ,INE557F08FZ1,CRISIL AAA,7500.0,7596.8625,0.0056,Axis Mutual Fund,AXISBDF,
7.04% Tamilnadu State Development Loans (19/03/2030),IN3120240707,Sovereign,7500000.0,7549.095,0.0055,Axis Mutual Fund,AXISBDF,
7.6937% Nexus Select Trust - REIT (28/05/2027) ,INE0NDH07043,CRISIL AAA,7500.0,7548.225,0.0055,Axis Mutual Fund,AXISBDF,
7.51% REC Limited (31/07/2026),INE020B08EI8,CRISIL AAA,7500.0,7522.725,0.0055,Axis Mutual Fund,AXISBDF,
7.35% Bharti Telecom Limited (15/10/2027) ,INE403D08272,CRISIL AAA,7500.0,7485.8625,0.0055,Axis Mutual Fund,AXISBDF,
6.52% REC Limited (31/01/2028),INE020B08FW6,ICRA AAA,7500.0,7459.05,0.0055,Axis Mutual Fund,AXISBDF,
6.94% Power Grid Corporation of India Limited (15/04/2035),INE752E08783,CRISIL AAA,7500.0,7423.0875,0.0055,Axis Mutual Fund,AXISBDF,
7.64% REC Limited (30/04/2027) ,INE020B08EX7,ICRA AAA,7000.0,7071.638,0.0052,Axis Mutual Fund,AXISBDF,
7.8% Tata Capital Housing Finance Limited (05/08/2027) ,INE033L07HU0,CRISIL AAA,680.0,6871.6584,0.0051,Axis Mutual Fund,AXISBDF,
8.23% Indian Railway Finance Corporation Limited (29/03/2029) ,INE053F07BE7,CRISIL AAA,650.0,6748.8785,0.005,Axis Mutual Fund,AXISBDF,
7.71% LIC Housing Finance Limited (09/05/2033),INE115A07QI4,CRISIL AAA,600.0,6102.294,0.0045,Axis Mutual Fund,AXISBDF,
7.7951% Bajaj Finance Limited (10/12/2027) ,INE296A07TF2,CRISIL AAA,6000.0,6067.074,0.0045,Axis Mutual Fund,AXISBDF,
7.81% Uttar Pradesh State Development Loans (19/10/2034),IN3320220046,Sovereign,5500000.0,5655.034,0.0042,Axis Mutual Fund,AXISBDF,
HDB Financial Services Limited (13/01/2026) (ZCB) ,INE756I07EK0,CRISIL AAA,436.0,5578.6156,0.0041,Axis Mutual Fund,AXISBDF,
7.56% REC Limited (31/08/2027),INE020B08FF1,ICRA AAA,5500.0,5563.7945,0.0041,Axis Mutual Fund,AXISBDF,
7.64% Power Finance Corporation Limited (22/02/2033) ,INE134E08MA1,CRISIL AAA,5000.0,5118.01,0.0038,Axis Mutual Fund,AXISBDF,
7.48% Indian Railway Finance Corporation Limited (29/08/2034) ,INE053F07BV1,CRISIL AAA,500.0,5104.155,0.0038,Axis Mutual Fund,AXISBDF,
8.05% HDB Financial Services Limited (08/08/2029) ,INE756I07EV7,CRISIL AAA,500.0,5100.275,0.0037,Axis Mutual Fund,AXISBDF,
7.62% National Bank For Agriculture and Rural Development (10/05/2029) ,INE261F08EH1,CRISIL AAA,5000.0,5094.615,0.0037,Axis Mutual Fund,AXISBDF,
7.44% Indian Railway Finance Corporation Limited (13/06/2034) ,INE053F08395,CRISIL AAA,5000.0,5089.215,0.0037,Axis Mutual Fund,AXISBDF,
7.12% Export Import Bank of India (27/06/2030) ,INE514E08GF5,CRISIL AAA,5050.0,5087.6023,0.0037,Axis Mutual Fund,AXISBDF,
8% Tata Capital Housing Finance Limited (03/11/2027) ,INE033L07HY2,CRISIL AAA,500.0,5077.31,0.0037,Axis Mutual Fund,AXISBDF,
7.45% Export Import Bank of India (12/04/2028) ,INE514E08GB4,CRISIL AAA,5000.0,5073.73,0.0037,Axis Mutual Fund,AXISBDF,
7.65% HDFC Bank Limited (25/05/2033) ,INE040A08930,CRISIL AAA,5000.0,5071.69,0.0037,Axis Mutual Fund,AXISBDF,
7.83% Kotak Mahindra Prime Limited (13/07/2028) ,INE916DA7SJ7,CRISIL AAA,5000.0,5068.085,0.0037,Axis Mutual Fund,AXISBDF,
7.37% Indian Railway Finance Corporation Limited (31/07/2029) ,INE053F08411,CRISIL AAA,5000.0,5067.31,0.0037,Axis Mutual Fund,AXISBDF,
7.64% LIC Housing Finance Limited (26/07/2033) ,INE115A07QL8,CRISIL AAA,500.0,5067.29,0.0037,Axis Mutual Fund,AXISBDF,
7.40% Power Finance Corporation Limited (15/01/2035) ,INE134E08NN2,CRISIL AAA,5000.0,5053.94,0.0037,Axis Mutual Fund,AXISBDF,
7.38% Power Finance Corporation Limited (15/01/2032),INE134E08NM4,CRISIL AAA,5000.0,5046.84,0.0037,Axis Mutual Fund,AXISBDF,
7.27% Indian Railway Finance Corporation Limited (15/06/2027) ,INE053F07AB5,CRISIL AAA,500.0,5031.095,0.0037,Axis Mutual Fund,AXISBDF,
7.32% REC Limited (28/02/2035),INE020B08FQ8,CRISIL AAA,5000.0,5017.98,0.0037,Axis Mutual Fund,AXISBDF,
7.27% Tata Capital Housing Finance Limited (25/04/2028) ,INE033L07IN3,CRISIL AAA,5000.0,5012.82,0.0037,Axis Mutual Fund,AXISBDF,
7.20% Larsen & Toubro Limited (22/01/2035) ,INE018A08BM2,CRISIL AAA,5000.0,5001.625,0.0037,Axis Mutual Fund,AXISBDF,
7.10% Bajaj Housing Finance Limited (16/10/2028) ,INE377Y07607,CRISIL AAA,5000.0,5001.175,0.0037,Axis Mutual Fund,AXISBDF,
7.4% Bharti Telecom Limited (01/02/2029) ,INE403D08298,CRISIL AAA,5000.0,4988.27,0.0037,Axis Mutual Fund,AXISBDF,
6.97% Bajaj Housing Finance Limited (17/07/2028) ,INE377Y07599,CRISIL AAA,5000.0,4986.99,0.0037,Axis Mutual Fund,AXISBDF,
6.66% National Bank For Agriculture and Rural Development (12/10/2028) ,INE261F08EP4,ICRA AAA,5000.0,4966.165,0.0037,Axis Mutual Fund,AXISBDF,
6.61% Power Finance Corporation Limited (15/07/2028) ,INE134E08NS1,CRISIL AAA,5000.0,4965.445,0.0037,Axis Mutual Fund,AXISBDF,
7.68% National Bank For Agriculture and Rural Development (30/04/2029) ,INE261F08EG3,CRISIL AAA,4500.0,4592.394,0.0034,Axis Mutual Fund,AXISBDF,
7.4% National Housing Bank (16/07/2026) ,INE557F08FS6,CRISIL AAA,4500.0,4513.9635,0.0033,Axis Mutual Fund,AXISBDF,
8.4% Indian Railway Finance Corporation Limited (08/01/2029) ,INE053F07AZ4,CRISIL AAA,400.0,4161.336,0.0031,Axis Mutual Fund,AXISBDF,
7.57% National Bank For Agriculture and Rural Development (19/03/2026) ,INE261F08DW2,CRISIL AAA,4100.0,4108.2246,0.003,Axis Mutual Fund,AXISBDF,
7.85% Bajaj Housing Finance Limited (01/09/2028) ,INE377Y07433,CRISIL AAA,400.0,4072.548,0.003,Axis Mutual Fund,AXISBDF,
5.81% REC Limited (31/12/2025),INE020B08DH2,CRISIL AAA,350.0,3499.8915,0.0026,Axis Mutual Fund,AXISBDF,
8.3439% HDB Financial Services Limited (05/07/2027),INE756I07EZ8,CRISIL AAA,3000.0,3047.352,0.0022,Axis Mutual Fund,AXISBDF,
7.08% Karnataka State Development Loans (12/08/2031),IN1920240232,Sovereign,3000000.0,3000.339,0.0022,Axis Mutual Fund,AXISBDF,
6.87% Indian Railway Finance Corporation Limited (14/04/2032) ,INE053F08163,CRISIL AAA,300.0,2968.884,0.0022,Axis Mutual Fund,AXISBDF,
7.88% IndiGRID Infrastructure Trust (30/04/2029) ,INE219X07439,CRISIL AAA,2500.0,2562.295,0.0019,Axis Mutual Fund,AXISBDF,
7.71% HDFC Bank Limited (20/12/2033) ,INE040A08AJ4,CRISIL AAA,2500.0,2559.07,0.0019,Axis Mutual Fund,AXISBDF,
7.83% Small Industries Dev Bank of India (24/11/2028) ,INE556F08KL3,CRISIL AAA,2500.0,2556.975,0.0019,Axis Mutual Fund,AXISBDF,
7.77% REC Limited (31/03/2028) ,INE020B08EH0,CRISIL AAA,2500.0,2548.12,0.0019,Axis Mutual Fund,AXISBDF,
7.6% Power Finance Corporation Limited (13/04/2029) ,INE134E08MX3,CRISIL AAA,2500.0,2547.2625,0.0019,Axis Mutual Fund,AXISBDF,
7.70% REC Limited (10/12/2027) ,INE020B08AQ9,CRISIL AAA,250.0,2541.515,0.0019,Axis Mutual Fund,AXISBDF,
7.55% REC Limited (31/03/2028) ,INE020B08EA5,CRISIL AAA,250.0,2536.9925,0.0019,Axis Mutual Fund,AXISBDF,
7.62% National Bank For Agriculture and Rural Development (31/01/2028) ,INE261F08DV4,CRISIL AAA,2500.0,2535.3875,0.0019,Axis Mutual Fund,AXISBDF,
7.67% LIC Housing Finance Limited (15/04/2033) ,INE115A07QK0,CRISIL AAA,250.0,2534.01,0.0019,Axis Mutual Fund,AXISBDF,
7.48% Small Industries Dev Bank of India (24/05/2029) ,INE556F08KV2,CRISIL AAA,2500.0,2533.38,0.0019,Axis Mutual Fund,AXISBDF,
7.68% Small Industries Dev Bank of India (10/08/2027) ,INE556F08KP4,CRISIL AAA,2500.0,2532.66,0.0019,Axis Mutual Fund,AXISBDF,
7.7165% Nexus Select Trust - REIT (14/06/2028) ,INE0NDH07035,CRISIL AAA,2500.0,2530.515,0.0019,Axis Mutual Fund,AXISBDF,
