Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating,Reporting Date
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (29/01/2030) (FV 2500 Lacs),,,,-32.12,0.0,Axis Mutual Fund,AXISBDF,,2020-12-05
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (06/03/2027) (FV 5000 Lacs),,,,-34.145,0.0,Axis Mutual Fund,AXISBDF,,2020-12-05
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (21/03/2027) (FV 7500 Lacs),,,,-40.2,0.0,Axis Mutual Fund,AXISBDF,,2020-12-05
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (11/03/2027) (FV 10000 Lacs),,,,-69.23,-0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
Sub Total,,,,-175.695,-0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
Total,,,,-175.695,-0.0001,Axis Mutual Fund,AXISBDF,,2020-12-05
7.1% Export Import Bank of India (18/03/2026) ,INE514E08GA6,CRISIL AAA,6790.0,68054.6762,0.0496,Axis Mutual Fund,AXISBDF,,2020-12-05
6.79% Government of India (07/10/2034),IN0020240126,Sovereign,59000000.0,59891.254,0.0437,Axis Mutual Fund,AXISBDF,,2020-12-05
7.18% Government of India (14/08/2033),IN0020230085,Sovereign,53500000.0,55528.292,0.0405,Axis Mutual Fund,AXISBDF,,2020-12-05
7.42% Power Finance Corporation Limited (15/04/2028) ,INE134E08NL6,CRISIL AAA,47500.0,48246.795,0.0352,Axis Mutual Fund,AXISBDF,,2020-12-05
7.59% REC Limited (31/05/2027) ,INE020B08FA2,CRISIL AAA,46500.0,47108.7315,0.0343,Axis Mutual Fund,AXISBDF,,2020-12-05
7.4% Indian Railway Finance Corporation Limited (18/04/2026) ,INE053F08239,CRISIL AAA,44050.0,44193.9114,0.0322,Axis Mutual Fund,AXISBDF,,2020-12-05
7.44% National Bank For Agriculture and Rural Development (24/02/2028) ,INE261F08EK5,CRISIL AAA,39500.0,40092.105,0.0292,Axis Mutual Fund,AXISBDF,,2020-12-05
7.34% Small Industries Dev Bank of India (26/02/2029) ,INE556F08KS8,CRISIL AAA,35000.0,35625.905,0.026,Axis Mutual Fund,AXISBDF,,2020-12-05
6.48% Government of India (06/10/2035),IN0020250091,Sovereign,30000000.0,29965.53,0.0218,Axis Mutual Fund,AXISBDF,,2020-12-05
7.48% National Bank For Agriculture and Rural Development (15/09/2028) ,INE261F08EO7,CRISIL AAA,25500.0,25966.8795,0.0189,Axis Mutual Fund,AXISBDF,,2020-12-05
6.18% Indian Bank (13/01/2031) ,INE562A08081,CRISIL AAA,2150.0,21473.7055,0.0157,Axis Mutual Fund,AXISBDF,,2020-12-05
7.12% Power Grid Corporation of India Limited (24/12/2034) ,INE752E08775,CRISIL AAA,19500.0,19655.0445,0.0143,Axis Mutual Fund,AXISBDF,,2020-12-05
7.69% REC Limited (31/03/2033) ,INE020B08EG2,CRISIL AAA,18500.0,19113.682,0.0139,Axis Mutual Fund,AXISBDF,,2020-12-05
7.42% Small Industries Dev Bank of India (12/03/2029) ,INE556F08KW0,CRISIL AAA,18000.0,18356.076,0.0134,Axis Mutual Fund,AXISBDF,,2020-12-05
7.288% Kotak Mahindra Prime Limited (24/10/2028) ,INE916DA7TE6,CRISIL AAA,17500.0,17591.945,0.0128,Axis Mutual Fund,AXISBDF,,2020-12-05
6.85% National Bank For Agriculture and Rural Development (19/01/2029) ,INE261F08EQ2,ICRA AAA,17500.0,17540.4775,0.0128,Axis Mutual Fund,AXISBDF,,2020-12-05
7.54% Small Industries Dev Bank of India (12/01/2026) ,INE556F08KF5,ICRA AAA,1650.0,16524.4365,0.012,Axis Mutual Fund,AXISBDF,,2020-12-05
7.32% NTPC Limited (17/07/2029) ,INE733E07KL3,CRISIL AAA,1500.0,15340.845,0.0112,Axis Mutual Fund,AXISBDF,,2020-12-05
6.66% Small Industries Dev Bank of India (25/10/2028),INE556F08KZ3,CRISIL AAA,15000.0,14992.41,0.0109,Axis Mutual Fund,AXISBDF,,2020-12-05
7.51% Small Industries Dev Bank of India (12/06/2028) ,INE556F08KU4,CRISIL AAA,12500.0,12749.3125,0.0093,Axis Mutual Fund,AXISBDF,,2020-12-05
7.79% Small Industries Dev Bank of India (14/05/2027) ,INE556F08KM1,CRISIL AAA,12500.0,12699.1,0.0093,Axis Mutual Fund,AXISBDF,,2020-12-05
7.59% National Housing Bank (14/07/2027) ,INE557F08FY4,CRISIL AAA,12500.0,12683.55,0.0092,Axis Mutual Fund,AXISBDF,,2020-12-05
7.08% Power Grid Corporation of India Limited (25/10/2034) ,INE752E08767,CRISIL AAA,12500.0,12561.525,0.0092,Axis Mutual Fund,AXISBDF,,2020-12-05
7.123% Tata Capital Housing Finance Limited (21/07/2027),INE033L07IO1,CRISIL AAA,12500.0,12545.7125,0.0091,Axis Mutual Fund,AXISBDF,,2020-12-05
6.92% Indian Railway Finance Corporation Limited (29/08/2031) ,INE053F08122,CRISIL AAA,1250.0,12515.2375,0.0091,Axis Mutual Fund,AXISBDF,,2020-12-05
6.60% REC Limited (30/06/2027),INE020B08FZ9,ICRA AAA,12500.0,12494.9375,0.0091,Axis Mutual Fund,AXISBDF,,2020-12-05
6.80% National Housing Bank (02/04/2032) ,INE557F08GE4,CARE AAA,12500.0,12396.3375,0.009,Axis Mutual Fund,AXISBDF,,2020-12-05
7.26% Government of India (06/02/2033),IN0020220151,Sovereign,10500000.0,10933.881,0.008,Axis Mutual Fund,AXISBDF,,2020-12-05
7.70% National Bank For Agriculture and Rural Development (30/09/2027) ,INE261F08EI9,ICRA AAA,10100.0,10271.4273,0.0075,Axis Mutual Fund,AXISBDF,,2020-12-05
8.18% Mahindra & Mahindra Financial Services Limited (31/05/2029) ,INE774D07VF8,CRISIL AAA,10000.0,10258.13,0.0075,Axis Mutual Fund,AXISBDF,,2020-12-05
7.49% Small Industries Dev Bank of India (11/06/2029) ,INE556F08KX8,CRISIL AAA,10000.0,10231.5,0.0075,Axis Mutual Fund,AXISBDF,,2020-12-05
7.35% National Housing Bank (02/01/2032) ,INE557F08GD6,CARE AAA,10000.0,10186.99,0.0074,Axis Mutual Fund,AXISBDF,,2020-12-05
7.34% REC Limited (30/04/2030) ,INE020B08FL9,CRISIL AAA,10000.0,10182.45,0.0074,Axis Mutual Fund,AXISBDF,,2020-12-05
7.75% Small Industries Dev Bank of India (10/06/2027) ,INE556F08KN9,CRISIL AAA,10000.0,10159.64,0.0074,Axis Mutual Fund,AXISBDF,,2020-12-05
7.43% National Bank For Financing Infrastructure And Development (04/07/2034) ,INE0KUG08035,CRISIL AAA,10000.0,10149.79,0.0074,Axis Mutual Fund,AXISBDF,,2020-12-05
