Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating,Reporting Date
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (29/01/2030) (FV 2500 Lacs),,,,-21.2025,0.0,Axis Mutual Fund,AXISBDF,,2020-12-12
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (06/03/2027) (FV 5000 Lacs),,,,-31.585,0.0,Axis Mutual Fund,AXISBDF,,2020-12-12
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (21/03/2027) (FV 7500 Lacs),,,,-36.21,0.0,Axis Mutual Fund,AXISBDF,,2020-12-12
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (11/03/2027) (FV 10000 Lacs),,,,-64.01,0.0,Axis Mutual Fund,AXISBDF,,2020-12-12
Sub Total,,,,-153.0075,-0.0001,Axis Mutual Fund,AXISBDF,,2020-12-12
Total,,,,-153.0075,-0.0001,Axis Mutual Fund,AXISBDF,,2020-12-12
7.1% Export Import Bank of India (18/03/2026) ,INE514E08GA6,CRISIL AAA,6790.0,68029.4174,0.0498,Axis Mutual Fund,AXISBDF,,2020-12-12
6.79% Government of India (07/10/2034),IN0020240126,Sovereign,54000000.0,54478.764,0.0398,Axis Mutual Fund,AXISBDF,,2020-12-12
7.18% Government of India (14/08/2033),IN0020230085,Sovereign,48000000.0,49523.76,0.0362,Axis Mutual Fund,AXISBDF,,2020-12-12
7.42% Power Finance Corporation Limited (15/04/2028) ,INE134E08NL6,CRISIL AAA,47500.0,48067.1975,0.0352,Axis Mutual Fund,AXISBDF,,2020-12-12
7.59% REC Limited (31/05/2027) ,INE020B08FA2,CRISIL AAA,46500.0,46982.8095,0.0344,Axis Mutual Fund,AXISBDF,,2020-12-12
7.4% Indian Railway Finance Corporation Limited (18/04/2026) ,INE053F08239,CRISIL AAA,44050.0,44172.2828,0.0323,Axis Mutual Fund,AXISBDF,,2020-12-12
7.44% National Bank For Agriculture and Rural Development (24/02/2028) ,INE261F08EK5,CRISIL AAA,39500.0,39949.747,0.0292,Axis Mutual Fund,AXISBDF,,2020-12-12
7.34% Small Industries Dev Bank of India (26/02/2029) ,INE556F08KS8,CRISIL AAA,35000.0,35390.95,0.0259,Axis Mutual Fund,AXISBDF,,2020-12-12
7.48% National Bank For Agriculture and Rural Development (15/09/2028) ,INE261F08EO7,CRISIL AAA,25500.0,25870.413,0.0189,Axis Mutual Fund,AXISBDF,,2020-12-12
6.80% National Housing Bank (02/04/2032) ,INE557F08GE4,CARE AAA,22500.0,22167.2475,0.0162,Axis Mutual Fund,AXISBDF,,2020-12-12
6.18% Indian Bank (13/01/2031) ,INE562A08081,CRISIL AAA,2150.0,21450.464,0.0157,Axis Mutual Fund,AXISBDF,,2020-12-12
7.12% Power Grid Corporation of India Limited (24/12/2034) ,INE752E08775,CRISIL AAA,19500.0,19630.0845,0.0144,Axis Mutual Fund,AXISBDF,,2020-12-12
7.69% REC Limited (31/03/2033) ,INE020B08EG2,CRISIL AAA,18500.0,19084.637,0.014,Axis Mutual Fund,AXISBDF,,2020-12-12
7.42% Small Industries Dev Bank of India (12/03/2029) ,INE556F08KW0,CRISIL AAA,18000.0,18234.18,0.0133,Axis Mutual Fund,AXISBDF,,2020-12-12
7.288% Kotak Mahindra Prime Limited (24/10/2028) ,INE916DA7TE6,CRISIL AAA,17500.0,17531.22,0.0128,Axis Mutual Fund,AXISBDF,,2020-12-12
6.85% National Bank For Agriculture and Rural Development (19/01/2029) ,INE261F08EQ2,ICRA AAA,17500.0,17480.505,0.0128,Axis Mutual Fund,AXISBDF,,2020-12-12
7.54% Small Industries Dev Bank of India (12/01/2026) ,INE556F08KF5,ICRA AAA,1650.0,16515.8565,0.0121,Axis Mutual Fund,AXISBDF,,2020-12-12
7.32% NTPC Limited (17/07/2029) ,INE733E07KL3,CRISIL AAA,1500.0,15284.565,0.0112,Axis Mutual Fund,AXISBDF,,2020-12-12
6.66% Small Industries Dev Bank of India (25/10/2028),INE556F08KZ3,CRISIL AAA,15000.0,14900.835,0.0109,Axis Mutual Fund,AXISBDF,,2020-12-12
7.51% Small Industries Dev Bank of India (12/06/2028) ,INE556F08KU4,CRISIL AAA,12500.0,12690.325,0.0093,Axis Mutual Fund,AXISBDF,,2020-12-12
7.79% Small Industries Dev Bank of India (14/05/2027) ,INE556F08KM1,CRISIL AAA,12500.0,12669.725,0.0093,Axis Mutual Fund,AXISBDF,,2020-12-12
7.53% National Bank For Agriculture and Rural Development (24/03/2028) ,INE261F08EM1,ICRA AAA,12500.0,12668.775,0.0093,Axis Mutual Fund,AXISBDF,,2020-12-12
7.59% National Housing Bank (14/07/2027) ,INE557F08FY4,CRISIL AAA,12500.0,12654.6125,0.0093,Axis Mutual Fund,AXISBDF,,2020-12-12
