Name of the Instrument,ISIN,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Reporting Date
Others,,,,,Axis Mutual Fund,AXISASD,2025-12-05
Mutual Fund Units,,,,,Axis Mutual Fund,AXISASD,2025-12-05
Axis Corporate Bond Fund - Direct Plan Growth,INF846K01ZM8,444225397.332,82927.5529,0.3676,Axis Mutual Fund,AXISASD,2025-12-05
Axis Arbitrage Fund Direct Plan Growth,INF846K01PZ1,197268733.582,41121.0621,0.1823,Axis Mutual Fund,AXISASD,2025-12-05
Nippon India Corporate Bond Fund - Direct Plan-Growth Plan,INF204K01C15,49202689.577,31954.8836,0.1416,Axis Mutual Fund,AXISASD,2025-12-05
Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,INF209K01VP1,86093906.993,25322.5426,0.1122,Axis Mutual Fund,AXISASD,2025-12-05
Kotak Arbitrage Fund - Growth - Direct,INF174K01LC6,53202242.209,21872.0802,0.0969,Axis Mutual Fund,AXISASD,2025-12-05
Aditya Birla SL Corp Bond Fund(G)-Direct Plan,INF209K01S38,13078430.797,15446.3853,0.0685,Axis Mutual Fund,AXISASD,2025-12-05
Axis Gilt Fund - Direct Plan - Growth Option,INF846K01DD4,21881967.706,6015.156,0.0267,Axis Mutual Fund,AXISASD,2025-12-05
Sub Total,,,224659.6626,0.9958,Axis Mutual Fund,AXISASD,2025-12-05
Total,,,224659.6626,0.9958,Axis Mutual Fund,AXISASD,2025-12-05
Reverse Repo / TREPS,,,,,Axis Mutual Fund,AXISASD,2025-12-05
Clearing Corporation of India Ltd,,,1036.3976,0.0046,Axis Mutual Fund,AXISASD,2025-12-05
Sub Total,,,1036.3976,0.0046,Axis Mutual Fund,AXISASD,2025-12-05
Total,,,1036.3976,0.0046,Axis Mutual Fund,AXISASD,2025-12-05
Net Receivables / (Payables),,,-93.8602,-0.0004,Axis Mutual Fund,AXISASD,2025-12-05
GRAND TOTAL,,,225602.2,1.0,Axis Mutual Fund,AXISASD,2025-12-05
,,,,,Axis Mutual Fund,AXISASD,2025-12-05
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,Axis Mutual Fund,AXISASD,2025-12-05
,,,,,Axis Mutual Fund,AXISASD,2025-12-05
,Benchmark Name - 65% NIFTY COMPOSITE DEBT INDEX +35% NIFTY 50 ARBITRAGE TRI,,,,Axis Mutual Fund,AXISASD,2025-12-05
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,Axis Mutual Fund,AXISASD,2025-12-05
Others,,,,,Axis Mutual Fund,AXISIAP,2025-12-05
Mutual Fund Units,,,,,Axis Mutual Fund,AXISIAP,2025-12-05
Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund - Direct Plan - Growth Option,INF846K017X1,74441079.246,8223.7293,0.6021,Axis Mutual Fund,AXISIAP,2025-12-05
Axis Arbitrage Fund Direct Plan Growth,INF846K01PZ1,25063606.968,5224.559,0.3825,Axis Mutual Fund,AXISIAP,2025-12-05
Sub Total,,,13448.2883,0.9846,Axis Mutual Fund,AXISIAP,2025-12-05
Total,,,13448.2883,0.9846,Axis Mutual Fund,AXISIAP,2025-12-05
Reverse Repo / TREPS,,,,,Axis Mutual Fund,AXISIAP,2025-12-05
Clearing Corporation of India Ltd,,,217.4087,0.0159,Axis Mutual Fund,AXISIAP,2025-12-05
Sub Total,,,217.4087,0.0159,Axis Mutual Fund,AXISIAP,2025-12-05
Total,,,217.4087,0.0159,Axis Mutual Fund,AXISIAP,2025-12-05
Net Receivables / (Payables),,,-6.687,-0.0005,Axis Mutual Fund,AXISIAP,2025-12-05
GRAND TOTAL,,,13659.01,1.0,Axis Mutual Fund,AXISIAP,2025-12-05
,,,,,Axis Mutual Fund,AXISIAP,2025-12-05
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,Axis Mutual Fund,AXISIAP,2025-12-05
,,,,,Axis Mutual Fund,AXISIAP,2025-12-05
,Benchmark Name - 65% NIFTY SHORT DURATION DEBT INDEX + 35% NIFTY 50 ARBITRAGE TRI,,,,Axis Mutual Fund,AXISIAP,2025-12-05
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,Axis Mutual Fund,AXISIAP,2025-12-05
